station,depth,faith_pd,rao_q,richness
E1,0,16.19578118825593,0.5581598117086346,6
E1,10,91.14478936480077,0.7725175744511711,14
E1,25,91.14478936480077,0.9230311190861705,14
E1,50,91.14478936480077,0.8070187111494573,14
E1,75,91.14478936480077,0.8002157299523137,14
E1,100,91.14478936480077,0.909476726805922,14
E2,0,16.19578118825593,0.8252490138938305,6
E2,10,91.14478936480077,0.7469121379265711,14
E2,25,91.14478936480077,0.8670046777188921,14
E2,50,91.14478936480077,0.7918387512196636,14
E2,75,91.14478936480077,0.9186418276890009,14
E2,100,91.14478936480077,0.8494661000285989,14
E3,0,16.19578118825593,0.7474421769204355,6
E3,10,91.14478936480077,0.8037328532903081,14
E3,25,91.14478936480077,0.8336517954074583,14
E3,50,91.14478936480077,0.9358236145115982,14
E3,75,91.14478936480077,0.8769027266769726,14
E3,100,91.14478936480077,0.9083627494260661,14
